,Region,Year,Month,Station,Rainfall_mm,RainyDays,MaxTemp_C,MinTemp_C,UrbanRural
0,North,2023,Jan,StationA,56.2,9,12.1,2.5,Urban
1,North,2023,Feb,StationA,72.1,12,14.7,3.0,Urban
2,North,2023,Jan,StationB,60.5,10,11.2,1.8,Rural
3,South,2023,Jan,StationC,81.0,13,19.6,7.2,Urban
4,South,2023,Feb,StationC,63.4,11,20.1,7.7,Urban
5,East,2023,Jan,StationD,45.7,8,15.4,5.6,Rural
6,East,2023,Feb,StationD,59.6,10,17.9,6.2,Rural
7,West,2023,Jan,StationE,77.4,12,16.8,4.9,Urban
8,West,2023,Feb,StationE,84.2,13,18.2,5.3,Urban
9,North,2023,Mar,StationB,61.5,11,15.0,3.2,Rural
